Provinsi;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;;
ACEH;14.695;99.69;6.07;3.16646;77.48;4.21;99.44;97.96;83.10;99.62;44.28695057;;
SUMATERA UTARA;8.375;98.7;5.815;2.52261;82.3;4.73;99.50;96.78;78.66;99.57;47.61679634;;
SUMATERA BARAT;5.98;98.82;6.225;2.512539;69.27;4.36;99.55;96.52;83.71;99.86;47.65741233;;
RIAU;6.81;95.2;4.385;2.938564;84.06;4.55;99.61;95.72;77.32;99.92;47.90954584;;
JAMBI;7.66;98.39;4.645;2.698941;79.54;5.13;99.33;96.20;72.53;99.52;49.51169067;;
SUMATERA SELATAN;11.925;96.55;4.685;3.144446;78.62;5.23;99.38;95.06;70.93;99.5;49.55185399;;
BENGKULU;14.48;99.21;3.49;2.238094;79.58;4.31;99.49;97.73;79.31;99.49;50.36143877;;
LAMPUNG;11.505;98.66;4.415;2.440486;83.65;4.28;99.56;95.63;71.14;99.32;47.81690386;;
KEP, BANGKA BELITUNG;4.53;99.53;4.475;3.264884;91.63;4.40;99.41;93.00;68.42;99.18;48.90753379;;
KEP, RIAU;6.135;97.96;8.125;3.050172;87.74;5.09;99.28;99.01;84.54;99.72;53.03225067;;
DKI JAKARTA;4.65;99.73;7.59;4.641854;92.79;5.25;99.44;97.95;72.10;99.9;45.64702247;;
JAWA BARAT;8.02;99.77;8.33;1.841487;74.02;5.45;99.39;95.27;68.66;99.62;47.46926069;;
JAWA TENGAH;10.955;99.96;5.66;1.812935;84.37;5.31;99.58;96.77;70.82;98.06;49.66045679;;
DI YOGYAKARTA;11.415;99.95;3.895;1.840916;96.21;5.15;99.59;99.01;89.95;99.15;59.57444377;;
JAWA TIMUR;10.435;99.59;5.15;1.891567;81.13;5.34;99.14;97.64;73.40;97.48;52.52319077;;
BANTEN;6.2;99.56;8.31;2.501203;85.12;5.03;99.33;96.39;69.22;99.39;48.48692458;;
BALI;4.55;99.92;4.82;2.516971;95.94;4.84;99.55;97.85;83.84;99.09;59.04894566;;
NUSA TENGGARA BARAT;13.75;99.68;3.405;2.207212;83.12;6.95;99.17;97.74;77.43;93.51;49.66192886;;
NUSA TENGGARA TIMUR;20.14;85.58;3.42;1.975;73.7;3.05;98.59;94.83;75.55;97.29;53.33210764;;
KALIMANTAN BARAT;6.77;89.99;4.985;2.434328;77.41;5.07;98.73;92.64;68.72;96.86;46.15301187;;
KALIMANTAN TENGAH;5.25;85.36;4.23;2.922516;74.33;6.45;99.20;94.61;66.32;99.94;49.04873956;;
KALIMANTAN SELATAN;4.55;98.78;4.47;2.906473;82.55;5.11;99.43;94.01;69.88;99.52;50.02809593;;
KALIMANTAN TIMUR;6.375;95.56;6.24;3.014497;90.33;4.48;99.57;98.75;81.43;99.64;45.25933986;;
KALIMANTAN UTARA;6.815;94.16;4.475;3.016738;82.22;5.34;98.98;97.03;76.50;98.67;48.63753779;;
SULAWESI UTARA;7.31;99.22;6.56;3.310723;84.05;5.42;99.34;94.86;74.33;99.87;43.61590525;;
SULAWESI TENGAH;12.315;95.26;3.335;2.390739;75.01;15.17;98.22;93.02;75.84;99.14;51.73738626;;
SULAWESI SELATAN;8.645;97.36;5.13;3.165876;92.24;5.09;99.43;93.20;70.81;96.55;47.18994559;;
SULAWESI TENGGARA;11.22;97.02;3.61;2.710596;87.07;5.53;99.05;94.80;74.53;98.22;49.44742199;;
GORONTALO;15.465;98.43;2.915;2.80058;79.82;4.04;98.93;91.83;71.68;98.96;51.50079651;;
SULAWESI BARAT;11.835;92.85;2.725;2.678863;78.88;2.3;98.40;89.39;70.85;96.46;50.17839024;;
MALUKU;16.1;93.15;6.66;2.619313;76.47;5.11;99.55;97.69;79.03;99.56;42.98474783;;
MALUKU UTARA;6.3;90.98;4.48;2.862231;79.39;22.94;99.13;97.59;77.70;99.71;44.33927083;;
PAPUA BARAT;21.38;83.49;5.575;3.2;73.52;2.01;98.27;97.37;80.56;98.46;41.21566805;;
PAPUA;26.68;43.04;3.215;3.561932;40.34;8.97;84.35;81.66;65.93;81.53;43.7868782;;
